lawd_cd,lat,lon
44710,36.119030322826156,127.47829278072057
44760,36.24640053454075,126.85694155426248
44770,36.10678239712853,126.70423104692725
44790,36.43059193551612,126.8530860225173
44800,36.57009035568264,126.62582343386035
44810,36.67064001014247,126.78426511757684
44825,36.707931112614624,126.28029279287043
46000,,
46110,34.80376301019676,126.39184640854289
46130,34.69884590930424,127.65342920494882
46150,34.994774365762936,127.38913792065378
46170,34.988593510168045,126.72041626088495
46230,35.02106402110331,127.65504351646338
46710,35.291550781106714,126.99526084886132
46720,35.21663482926133,127.26354312435338
46730,35.236797420355465,127.50308781454584
46770,34.598557265339956,127.31465608129051
46780,34.81440563431996,127.16218814401365
46790,35.0082538312782,127.03353932554369
46800,34.67660365373287,126.92153764458006
46810,34.62048423812301,126.77214714333918
46820,34.558740572474385,126.51159176181508
